time,mnvel,errvel,tel,svalue
2450545.771238,-101.4,1.4,keck,\nodata
2450787.014317,-183.5,1.4,keck,\nodata
2450807.061991,-184.5,1.3,keck,\nodata
2450837.758229,-225.4,1.5,keck,\nodata
2450838.784387,-227.4,1.4,keck,\nodata
2450861.729653,-145,1.4,keck,\nodata
2450862.725174,-155.9,1.5,keck,\nodata
2451073.058843,-179,1.3,keck,\nodata
2451170.895428,-198.3,1.5,keck,\nodata
2451226.82978,-234.5,1.4,keck,\nodata
2451227.757674,-222.6,1.6,keck,\nodata
2451228.852199,-207.7,1.5,keck,\nodata
2451229.773819,-196.6,1.5,keck,\nodata
2451550.8789,-118.7,1.4,keck,\nodata
2451551.908542,-158.9,1.6,keck,\nodata
2451552.856597,-187.1,1.3,keck,\nodata
2451580.847002,-162.7,1.4,keck,\nodata
2451581.757477,-180.3,1.5,keck,\nodata
2451582.791701,-179.1,1.4,keck,\nodata
2451583.912975,-167.2,1.6,keck,\nodata
2451584.783738,-156.6,1.4,keck,\nodata
2451585.909259,-143.1,1.5,keck,\nodata
2451793.121273,-8.6,1.5,keck,\nodata
2451882.942859,-80.5,1.7,keck,\nodata
2451884.089178,-67.8,1.5,keck,\nodata
2451898.073692,-46.4,1.5,keck,\nodata
2451899.047975,-43.5,1.6,keck,\nodata
2451900.067558,-23.5,1.4,keck,\nodata
2451973.750405,47.8,1.3,keck,\nodata
2451974.767488,62.6,1.4,keck,\nodata
2452003.75015,83.6,1.5,keck,\nodata
2452007.762199,110.8,1.3,keck,\nodata
2452134.136296,182.1,1.6,keck,\nodata
2452188.146574,142.8,1.7,keck,\nodata
2452218.983484,170.1,1.5,keck,\nodata
2452235.890394,199,1.5,keck,\nodata
2452236.911343,191.1,1.4,keck,\nodata
2452238.896968,116.3,1.5,keck,\nodata
2452242.934815,109.3,1.4,keck,\nodata
2452307.814421,178.8,1.8,keck,\nodata
2452334.775903,152.3,1.7,keck,\nodata
2452516.137153,-67.2,1.5,keck,\nodata
2452536.10309,-21.4,1.4,keck,\nodata
2452602.979861,-70.4,1.7,keck,\nodata
2453750.837872,-77.09,0.66,keck,\nodata
2453751.878079,-62.31,0.89,keck,\nodata
2453752.884016,-63.36,0.96,keck,\nodata
2453753.895081,-77.11,0.97,keck,\nodata
2453775.747373,-112.4,1.1,keck,\nodata
2453776.88015,-94.4,1.1,keck,\nodata
2454336.130035,155.3,1.2,keck,\nodata
2454344.10287,74.2,1.1,keck,\nodata
2454345.123947,83.1,1.1,keck,\nodata
2454398.075706,165.2,1.2,keck,\nodata
2454427.963252,106.1,1.2,keck,\nodata
2454492.848692,81.2,1.1,keck,\nodata
2454725.128854,-43.9,1.1,keck,\nodata
2453633.96726,-44.5,5.7,hjs,\nodata
2453636.91593,-19,4.9,hjs,\nodata
2453691.91356,-24.9,5.8,hjs,\nodata
2453746.78728,-51.1,5.7,hjs,\nodata
2453809.64793,47.7,5.5,hjs,\nodata
2453984.94973,-1.4,5.1,hjs,\nodata
2454020.90382,93.2,6.4,hjs,\nodata
2451101.025212,-114.1,4.6,lick,\nodata
2451102.02279,-95.2,4.6,lick,\nodata
2451131.919937,-93.7,4.6,lick,\nodata
2451132.928711,-75.5,6.1,lick,\nodata
2451154.808594,-148.1,6.8,lick,\nodata
2451175.922347,-76.7,5.6,lick,\nodata
2451206.804688,-94,7.6,lick,\nodata
2451212.786133,-168.5,7.4,lick,\nodata
2451213.786133,-181.2,7.7,lick,\nodata
2451454.020862,-157.2,4.1,lick,\nodata
2451455.020508,-160,7.7,lick,\nodata
2451468.049805,-170.3,7.2,lick,\nodata
2451468.962891,-162.5,6.1,lick,\nodata
2451482.982795,-134.1,5.1,lick,\nodata
2451532.852587,-54.4,4.1,lick,\nodata
2451533.861756,-38.4,3.5,lick,\nodata
2451534.898779,-29.4,4.8,lick,\nodata
2451535.88147,-51,4.6,lick,\nodata
2451536.828125,-82.7,5.8,lick,\nodata
2451539.931641,-129.4,5.8,lick,\nodata
2451543.791016,-73.1,7,lick,\nodata
2451546.832031,-40.1,7.8,lick,\nodata
2451571.75293,-89.9,7.2,lick,\nodata
2451572.654297,-75.1,5.6,lick,\nodata
2451581.68919,-126,5.5,lick,\nodata
2451593.797852,-61,6.8,lick,\nodata
2451607.730891,-31.1,5.4,lick,\nodata
2451629.655273,-59.1,5.7,lick,\nodata
2451815.021484,-11.3,5.9,lick,\nodata
2451817.02363,16.7,4.7,lick,\nodata
2451823.024176,14.2,4.3,lick,\nodata
2451824.024414,-33,5.6,lick,\nodata
2451825.032227,-48.9,6,lick,\nodata
2451826.023002,-67.1,4.8,lick,\nodata
2451827.007812,-46.9,6.1,lick,\nodata
2451831.019085,26.6,4.1,lick,\nodata
2451832.007394,49.7,3.9,lick,\nodata
2451834.965791,71.3,3.6,lick,\nodata
2451837.014648,27.5,5.3,lick,\nodata
2451838.03418,-5.6,5.7,lick,\nodata
2451840.015625,-45.6,6.6,lick,\nodata
2451841.97843,-28.7,4.5,lick,\nodata
2451859.959961,50,5.3,lick,\nodata
2451860.922852,63.2,5,lick,\nodata
2451868.9844,-25,4.3,lick,\nodata
2451874.912598,50.2,4.6,lick,\nodata
2451879.917969,63.9,6.5,lick,\nodata
2451880.956843,19.8,4.9,lick,\nodata
2451894.90332,16.9,6.8,lick,\nodata
2451905.869452,105.4,4.7,lick,\nodata
2451906.842477,97.8,4.5,lick,\nodata
2451907.830078,93.2,6.9,lick,\nodata
2451913.801652,28.4,3.5,lick,\nodata
2451914.854579,48.3,3.5,lick,\nodata
2451915.813233,58.9,3.4,lick,\nodata
2451927.81442,33.3,3.8,lick,\nodata
2451945.738115,93,3.3,lick,\nodata
2451946.703747,108.9,3.5,lick,\nodata
2452162.01434,224.1,4.6,lick,\nodata
2452262.927183,205.5,4.7,lick,\nodata
2452267.813066,139.7,2.8,lick,\nodata
2452278.876537,241.1,5.5,lick,\nodata
2452279.761846,224.8,4.6,lick,\nodata
2452285.880859,170.3,7.6,lick,\nodata
2452287.792969,190.6,7.9,lick,\nodata
2452293.808647,223.3,4.9,lick,\nodata
2452298.76477,97.1,2.7,lick,\nodata
2452299.695312,101.7,4.3,lick,\nodata
2452306.675258,232.3,4.2,lick,\nodata
2452314.718312,128.2,5.4,lick,\nodata
2452315.711377,144.4,3.6,lick,\nodata
2452333.68457,189.2,5.5,lick,\nodata
2452334.65332,207.8,5.4,lick,\nodata
2452335.657227,197.8,4.9,lick,\nodata
2452534.97549,25.9,3,lick,\nodata
2452562.990234,51.3,5.6,lick,\nodata
2452575.008143,-40,4.4,lick,\nodata
2452575.976504,-18.2,3.2,lick,\nodata
2452577.941642,-11.8,3.3,lick,\nodata
2452593.922528,3,3.9,lick,\nodata
2452594.945242,-22.7,3.1,lick,\nodata
2452597.915647,-123.1,3.5,lick,\nodata
2452607.922852,13,6,lick,\nodata
2452921.009526,-64.9,2.9,lick,\nodata
2452928.022614,-194.2,3.3,lick,\nodata
2452938.042699,-103.6,3.8,lick,\nodata
2452990.892578,-93.9,3.8,lick,\nodata
2452991.822266,-93.8,4.8,lick,\nodata
2453008.816406,-88.3,4,lick,\nodata
2453018.834961,-108.6,5.3,lick,\nodata
2453034.822266,-115.6,4.2,lick,\nodata
2453069.666016,-179.8,5.5,lick,\nodata
2453079.686026,-84.2,3.9,lick,\nodata
2453081.691406,-112.2,5.2,lick,\nodata
2453281.038086,-69.2,4.4,lick,\nodata
2453281.967773,-99.7,4.2,lick,\nodata
2453311.986989,-160.1,4.6,lick,\nodata
2453339.917141,-137.4,4.2,lick,\nodata
2453360.87066,-158.1,5.3,lick,\nodata
2453361.800845,-139.6,6.6,lick,\nodata
2453363.867523,-103.9,4.5,lick,\nodata
2453385.777853,-178.8,4.5,lick,\nodata
2453404.746036,-115.3,3.5,lick,\nodata
2453744.720752,-110.1,4.5,lick,\nodata
2453751.84191,-13.8,5.5,lick,\nodata
2453755.698287,-95.1,4.3,lick,\nodata
2453756.763275,-126,4.3,lick,\nodata
2453773.710162,-117,5.1,lick,\nodata
2453988.996493,-32.3,4.3,lick,\nodata
2454050.006817,59.7,4.4,lick,\nodata
2454072.827789,-1.5,4,lick,\nodata
2454073.804919,7.6,4.1,lick,\nodata
2454102.838692,38.6,3.9,lick,\nodata
2454103.823206,60.8,4.1,lick,\nodata
2454135.726862,99.5,3.3,lick,\nodata
2454340.031295,213.9,3,lick,\nodata
2454548.6739,58.5,4.4,lick,\nodata
